runs,cost
790,1.4142123
791,1.4127774
792,1.4122444
793,1.4135834
794,1.4140155
795,1.4141713
796,3.2914327e-17
797,1.4141805
798,1.4135482
799,1.4141141
800,1.4141084
801,1.4133253
802,1.3749585
803,1.4142135
804,1.4142089
805,1.4105166
806,1.414213
807,1.4139918
808,1.4142072
809,1.4142104
810,1.4137503
811,1.4141601
812,1.4126623
813,4.356929e-9
814,1.4142046
815,1.4142054
816,3.261682e-14
817,1.4134412
818,1.4135218
819,1.4131051
820,1.4140648
821,1.4142005
822,1.4142091
823,1.0215451e-9
824,1.414212
825,1.4142109
826,1.4142121
827,6.271899e-12
828,1.4117527
829,1.4141628
830,1.4131756
831,8.432088e-10
832,1.1303086e-8
833,1.4142119
834,1.4142126
835,1.4140098
836,1.4141694
837,1.4142011
838,1.4142121
839,1.4142135
840,5.774287e-10
841,1.4142118
842,1.4142019
843,1.4141988
844,1.4136628
845,1.4134636
846,1.4142135
847,1.4141872
848,1.4132055
849,1.4142122
850,1.4142046
851,1.4142092
852,1.4135492
853,1.4142106
854,1.4141889
855,1.6434477e-10
856,1.4142036
857,1.4140768
858,1.4142135
859,1.4141734
860,1.4141179
861,1.4141513
862,1.4142135
863,1.4140662
864,1.413462
865,1.4116791
866,1.4141092
867,1.4138567
868,1.4140447
869,1.4142135
870,1.4090015
871,1.4137131
872,1.4141682
873,0.000020224365
874,1.414206
875,1.397124
876,1.414197
877,1.414121
878,1.4139513
879,1.4141415
880,1.4141849
881,1.4142113
882,1.4142135
883,1.4139006
884,1.414176
885,1.41382
886,1.4141874
887,1.4139739
888,2.4033312e-12
889,1.4142126
890,1.413933
891,1.4142017
892,1.414206
893,1.4093555
894,1.4124854
895,1.4142121
896,1.4124571
897,1.4141573
898,1.4142116
899,1.4138236
900,1.4138231
901,1.4140898
902,3.5553956e-11
903,1.4142016
904,6.271848e-12
905,1.4142126
906,1.4142112
907,1.4141997
908,1.4141523
909,1.4142134
910,1.4142132
911,1.4132293
912,9.041684e-8
913,1.4013032
914,1.4141672
915,1.4142135
916,1.4141248
917,1.4142116
918,1.4141616
919,1.414208
920,1.4125172
921,1.4142135
922,1.4141136
923,1.4141452
924,1.4141179
925,1.4142022
926,1.3967831
927,1.4113214
928,1.4140753
929,1.402724
930,1.4140956
931,1.4141985
932,1.4136502
933,1.4142108
934,1.4103267
935,1.4142122
936,1.4141175
937,1.4140915
938,1.406344
939,1.4142076
940,1.4136934
941,1.4141966
942,1.4140905
943,1.4142135
944,1.1150281e-11
945,1.4142115
946,1.4134194
947,1.4142101
948,1.4142063
949,1.3336248e-18
950,1.4141469
951,2.89591e-16
952,1.4140791
953,1.4140728
954,1.4065315
955,1.4142046
956,1.3962871
957,1.4108883
958,1.4141839
959,1.4142083
960,1.4141586
961,1.4121672
962,1.4140753
963,1.4137697
964,1.4142126
965,1.4142135
966,1.4141414
967,1.413958
968,1.4132756
969,1.4140539
970,1.4113457
971,1.4141495
972,1.4131832
973,1.4141945
974,1.4141924
975,6.40298e-7
976,1.4141291
977,1.4142135
978,1.4140995
979,1.414139
980,1.4142072
981,1.4142091
982,1.4142135
983,1.4142008
984,1.4142135
985,1.4138376
986,1.4142135
987,1.4140859
988,1.4125963
989,1.4137005
990,1.4142135
991,1.4142135
992,1.4142135
993,1.4141731
994,1.4142135
995,1.4140532
996,1.4139755
997,1.4142003
998,1.4141493
999,4.8115766e-15
1000,1.4141631
1001,1.4142017
1002,1.4140954
1003,1.4141924
1004,1.4126402
1005,1.4141481
1006,1.4142135
1007,1.4142134
1008,1.4110796
1009,1.4142135
1010,1.4142118
1011,1.4138725
1012,1.4141217
1013,1.4141272
1014,1.4138345
1015,1.414207
1016,1.4140371
1017,1.4142135
1018,1.4142032
1019,1.4142134
1020,1.4141994
1021,1.413951
1022,1.4141884
1023,1.4142135
1024,1.4141873
1025,1.4142121
1026,1.4142007
1027,1.4142135
1028,1.3939825
1029,1.414212
1030,1.4139562
1031,1.4141654
1032,1.4142005
1033,1.4141372
1034,1.414003
1035,1.4142115
1036,1.4139637
1037,1.4142089
1038,1.4142135
1039,1.4141886
1040,1.414096
1041,2.3118875e-10
1042,1.4140524
1043,1.3980168
1044,1.407429
1045,1.4142135
1046,1.4142066
1047,1.4130889
1048,0.0000042223924
1049,1.4141161
1050,1.4142135
1051,1.4141845
1052,1.4114689
1053,1.412959
1054,1.4141593
1055,1.4141977
1056,1.4140635
1057,1.4141605
1058,1.4142135
1059,1.4141955
1060,1.4141603
1061,1.4141002
1062,1.4141996
1063,1.3598902
1064,1.4127661
1065,1.4055786
1066,5.745732e-10
1067,1.4138807
1068,1.4142135
1069,1.4139614
1070,1.4142046
1071,1.4141876
1072,1.4142135
1073,1.4141722
1074,1.414208
1075,1.39955
1076,1.3640807
1077,1.414204
1078,1.4142135
1079,1.4135275
1080,1.4142135
1081,1.4136811
1082,1.414015
1083,1.4141053
1084,1.4142077
1085,1.4138346
1086,1.4141045
1087,2.5628077e-9
1088,1.4130604
1089,1.4142021
1090,1.4142066
1091,1.414158
1092,1.742318e-11
1093,1.4137789
1094,1.413123
1095,1.4140813
1096,1.414101
1097,1.4142131
1098,1.0641109e-10
1099,3.0011618e-20
1100,1.4141682
1101,1.4142046
1102,1.4141645
1103,1.4142135
1104,1.4142004
1105,1.4142063
1106,1.4142135
1107,6.573938e-12
1108,1.4141967
1109,1.4142114
1110,1.4141947
1111,1.4136726
1112,1.4135494
1113,1.4142016
1114,1.4141837
1115,1.4140484
1116,1.4142026
1117,1.4141208
1118,1.4142135
1119,1.4142115
1120,1.414157
1121,1.4142135
1122,1.412747
1123,1.4139062
1124,1.4126256
1125,1.4140694
1126,1.3916012
1127,2.502769e-9
1128,2.0675678e-7
1129,1.4141989
1130,1.4142116
1131,1.4141885
1132,1.4142135
1133,1.4141973
1134,1.4127383
1135,1.4138782
1136,1.4099029
1137,1.4141617
1138,1.414094
1139,1.4142123
1140,1.4122314
1141,6.1230814e-8
1142,1.4141963
1143,1.4130683
1144,1.4139696
1145,1.4142066
1146,1.4131191
1147,1.4121304
1148,1.4141545
